make,model,boom_length,arm_length,CWT,shoe_width,reach,swl
Volvo,EC480DL FIXED UC,6.5,3,9050,600,Max,6750
Volvo,EC480DL FIXED UC,7,3,9050,600,3,27580
Volvo,EC480DL FIXED UC,7,3,9050,600,4.5,18710
Volvo,EC480DL FIXED UC,7,3,9050,600,6,12170
Volvo,EC480DL FIXED UC,7,3,9050,600,7.5,8950
Volvo,EC480DL FIXED UC,7,3,9050,600,9,7050
Volvo,EC480DL FIXED UC,7,3,9050,600,10.5,N/A
Volvo,EC480DL FIXED UC,7,3,9050,600,Max,6130
Volvo,EC480DL FIXED UC,7,3.35,9050,600,3,14040
Volvo,EC480DL FIXED UC,7,3.35,9050,600,4.5,15840
Volvo,EC480DL FIXED UC,7,3.35,9050,600,6,12100
Volvo,EC480DL FIXED UC,7,3.35,9050,600,7.5,8930
Volvo,EC480DL FIXED UC,7,3.35,9050,600,9,6970
Volvo,EC480DL FIXED UC,7,3.35,9050,600,10.5,N/A
Volvo,EC480DL FIXED UC,7,3.35,9050,600,Max,6010
Volvo,EC480DL FIXED UC,7,3.9,9050,600,3,14060
Volvo,EC480DL FIXED UC,7,3.9,9050,600,4.5,18130
Volvo,EC480DL FIXED UC,7,3.9,9050,600,6,11890
Volvo,EC480DL FIXED UC,7,3.9,9050,600,7.5,8710
Volvo,EC480DL FIXED UC,7,3.9,9050,600,9,6810
Volvo,EC480DL FIXED UC,7,3.9,9050,600,10.5,5640
Volvo,EC480DL FIXED UC,7,3.9,9050,600,Max,5610
Volvo,EC480DL FIXED UC,7,4.8,9050,600,3,14230
Volvo,EC480DL FIXED UC,7,4.8,9050,600,4.5,17570
Volvo,EC480DL FIXED UC,7,4.8,9050,600,6,11560
Volvo,EC480DL FIXED UC,7,4.8,9050,600,7.5,8440
Volvo,EC480DL FIXED UC,7,4.8,9050,600,9,6570
Volvo,EC480DL FIXED UC,7,4.8,9050,600,10.5,5340
Volvo,EC480DL FIXED UC,7,4.8,9050,600,Max,4880
Volvo,EC480DL RETRACT. UC,6.5,2.55,9750,600,3,18840
Volvo,EC480DL RETRACT. UC,6.5,2.55,9750,600,4.5,17490
Volvo,EC480DL RETRACT. UC,6.5,2.55,9750,600,6,13390
Volvo,EC480DL RETRACT. UC,6.5,2.55,9750,600,7.5,10240
Volvo,EC480DL RETRACT. UC,6.5,2.55,9750,600,9,N/A
Volvo,EC480DL RETRACT. UC,6.5,2.55,9750,600,10.5,N/A
Volvo,EC480DL RETRACT. UC,6.5,2.55,9750,600,Max,8170
Volvo,EC480DL RETRACT. UC,6.5,3,9750,600,3,19530
Volvo,EC480DL RETRACT. UC,6.5,3,9750,600,4.5,18230
Volvo,EC480DL RETRACT. UC,6.5,3,9750,600,6,13630
Volvo,EC480DL RETRACT. UC,6.5,3,9750,600,7.5,9990
Volvo,EC480DL RETRACT. UC,6.5,3,9750,600,9,7850
Volvo,EC480DL RETRACT. UC,6.5,3,9750,600,10.5,N/A
Volvo,EC480DL RETRACT. UC,6.5,3,9750,600,Max,7570
Volvo,EC480DL RETRACT. UC,7,2.55,9750,600,3,27580
Volvo,EC480DL RETRACT. UC,7,2.55,9750,600,4.5,18710
Volvo,EC480DL RETRACT. UC,7,2.55,9750,600,6,13060
Volvo,EC480DL RETRACT. UC,7,2.55,9750,600,7.5,10040
Volvo,EC480DL RETRACT. UC,7,2.55,9750,600,9,7900
Volvo,EC480DL RETRACT. UC,7,2.55,9750,600,10.5,N/A
Volvo,EC480DL RETRACT. UC,7,2.55,9750,600,Max,7440
Volvo,EC480DL RETRACT. UC,7,3,9750,600,3,13850
Volvo,EC480DL RETRACT. UC,7,3,9750,600,4.5,18120
Volvo,EC480DL RETRACT. UC,7,3,9750,600,6,13370
Volvo,EC480DL RETRACT. UC,7,3,9750,600,7.5,9790
Volvo,EC480DL RETRACT. UC,7,3,9750,600,9,7690
Volvo,EC480DL RETRACT. UC,7,3,9750,600,10.5,N/A
Volvo,EC480DL RETRACT. UC,7,3,9750,600,Max,6890
Volvo,EC480DL RETRACT. UC,7,3.35,9750,600,3,14040
Volvo,EC480DL RETRACT. UC,7,3.35,9750,600,4.5,15840
Volvo,EC480DL RETRACT. UC,7,3.35,9750,600,6,13610
Volvo,EC480DL RETRACT. UC,7,3.35,9750,600,7.5,9980
Volvo,EC480DL RETRACT. UC,7,3.35,9750,600,9,7820
Volvo,EC480DL RETRACT. UC,7,3.35,9750,600,10.5,N/A
Volvo,EC480DL RETRACT. UC,7,3.35,9750,600,Max,6740
Volvo,EC480DL RETRACT. UC,7,3.9,9750,600,3,14060
Volvo,EC480DL RETRACT. UC,7,3.9,9750,600,4.5,18130
Volvo,EC480DL RETRACT. UC,7,3.9,9750,600,6,12610
Volvo,EC480DL RETRACT. UC,7,3.9,9750,600,7.5,9780
Volvo,EC480DL RETRACT. UC,7,3.9,9750,600,9,7670
Volvo,EC480DL RETRACT. UC,7,3.9,9750,600,10.5,6340
Volvo,EC480DL RETRACT. UC,7,3.9,9750,600,Max,6200
Volvo,EC480DL RETRACT. UC,7,4.8,9750,600,3,14240
Volvo,EC480DL RETRACT. UC,7,4.8,9750,600,4.5,17570
Volvo,EC480DL RETRACT. UC,7,4.8,9750,600,6,13070
Volvo,EC480DL RETRACT. UC,7,4.8,9750,600,7.5,9530
Volvo,EC480DL RETRACT. UC,7,4.8,9750,600,9,7420
Volvo,EC480DL RETRACT. UC,7,4.8,9750,600,10.5,6040
Volvo,EC480DL RETRACT. UC,7,4.8,9750,600,Max,5520
Volvo,EC480DLR FIXED UC,9,6,10300,800,6,11180
Volvo,EC480DLR FIXED UC,9,6,10300,800,7.5,8140
Volvo,EC480DLR FIXED UC,9,6,10300,800,9,6320
Volvo,EC480DLR FIXED UC,9,6,10300,800,10.5,5120
Volvo,EC480DLR FIXED UC,9,6,10300,800,12,4270
Volvo,EC480DLR FIXED UC,9,6,10300,800,13.5,3620
Volvo,EC480DLR FIXED UC,9,6,10300,800,Max,3230
Volvo,EC480DLR RETRACT. UC,9,6,10300,800,6,11680
Volvo,EC480DLR RETRACT. UC,9,6,10300,800,7.5,8820
Volvo,EC480DLR RETRACT. UC,9,6,10300,800,9,6850
Volvo,EC480DLR RETRACT. UC,9,6,10300,800,10.5,5550
Volvo,EC480DLR RETRACT. UC,9,6,10300,800,12,4630
Volvo,EC480DLR RETRACT. UC,9,6,10300,800,13.5,3940
Volvo,EC480DLR RETRACT. UC,9,6,10300,800,Max,3510
CAT,6015,999,999,99999,999,9999,25426
Komatsu,PC490LC-11,7.06,3.38,9600,900,3,15850
Komatsu,PC490LC-11,7.06,3.38,9600,900,4.6,17970
Komatsu,PC490LC-11,7.06,3.38,9600,900,6.1,14350
Komatsu,PC490LC-11,7.06,3.38,9600,900,7.6,9940
Komatsu,PC490LC-11,7.06,3.38,9600,900,9.1,8510
Komatsu,PC490LC-11,7.06,3.38,9600,900,Max,7560
Komatsu,PC490LC-11 SE,6.7,2.9,9600,600,7.5,11140
